Dia,Casos_Totales,Tasa_Ataque
2021-09-08,4988,8.31
2021-09-09,4991,8.31
2021-09-10,4997,8.32
2021-09-11,5000,8.33
2021-09-12,5002,8.33
2021-09-13,5007,8.34
2021-09-14,5011,8.35
2021-09-15,5017,8.36
2021-09-16,5024,8.37
2021-09-17,5029,8.38
2021-09-18,5031,8.38
2021-09-19,5041,8.4
2021-09-20,5046,8.4
2021-09-21,5047,8.41
2021-09-22,5057,8.42
2021-09-23,5060,8.43
2021-09-24,5068,8.44
2021-09-25,5071,8.45
2021-09-26,5071,8.45
2021-09-27,5071,8.45
2021-09-28,5077,8.46
2021-09-29,5078,8.46
2021-09-30,5085,8.47
2021-10-01,5092,8.48
2021-10-02,5101,8.5
2021-10-03,5104,8.5
2021-10-04,5109,8.51
2021-10-05,5121,8.53
2021-10-06,5124,8.53
2021-10-07,5131,8.55
2021-10-08,5133,8.55
2021-10-09,5138,8.56
2021-10-10,5138,8.56
2021-10-11,5144,8.57
2021-10-12,5156,8.59
2021-10-13,5166,8.6
2021-10-14,5173,8.62
2021-10-15,5176,8.62
2021-10-16,5182,8.63
2021-10-17,5186,8.64
2021-10-18,5195,8.65
2021-10-19,5204,8.67
2021-10-20,5213,8.68
2021-10-21,5222,8.7
2021-10-22,5228,8.71
2021-10-23,5234,8.72
2021-10-24,5235,8.72
2021-10-25,5242,8.73
2021-10-26,5258,8.76
